2023-10-13 03:32:55.116 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.geekaca.mall.MallApplicationTests], using SpringBootContextLoader
2023-10-13 03:32:55.120 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.geekaca.mall.MallApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2023-10-13 03:32:55.122 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.geekaca.mall.MallApplicationTests]: MallApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-10-13 03:32:55.202 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.geekaca.mall.MallApplication for test class com.geekaca.mall.MallApplicationTests
2023-10-13 03:32:55.278 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2023-10-13 03:32:55.290 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@c35172e, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@c2db68f, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@3cc41abc, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@4566d049, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@61ce23ac, org.springframework.test.context.support.DirtiesContextTestExecutionListener@3668d4, org.springframework.test.context.transaction.TransactionalTestExecutionListener@1c3b9394, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6f2cfcc2, org.springframework.test.context.event.EventPublishingTestExecutionListener@7f6f61c8, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@4c2cc639, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@ccb4b1b, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@4097cac, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@ec2cc4, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@2a5b3fee, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@7c1e2a2d]
2023-10-13 03:58:01.626 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.geekaca.mall.MallApplicationTests], using SpringBootContextLoader
2023-10-13 03:58:01.631 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.geekaca.mall.MallApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2023-10-13 03:58:01.631 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.geekaca.mall.MallApplicationTests]: MallApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-10-13 03:58:01.709 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.geekaca.mall.MallApplication for test class com.geekaca.mall.MallApplicationTests
2023-10-13 03:58:01.794 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
